index_content,word,nature,content_type,index_word
17,这款,r,pos,10
17,茶饮料,n,pos,11
17,一直,d,pos,12
17,选择,v,pos,13
17,款,m,pos,14
17,产品,n,pos,15
17,里面,f,pos,16
17,几乎,d,pos,17
17,没有,v,pos,18
17,添加剂,n,pos,19
17,一个,m,pos,20
17,碳酸氢钠,nz,pos,21
17,茶,n,pos,22
17,水,n,pos,23
17,没有,v,pos,24
17,糖,zg,pos,25
17,真的,d,pos,26
17,非常,d,pos,27
17,健康,a,pos,28
17,款,m,pos,29
17,饮料,n,pos,30
17,实体店,n,pos,31
17,买,v,pos,32
17,应该,v,pos,33
17,块,q,pos,34
17,左右,m,pos,35
17,京东,ns,pos,36
17,搞,v,pos,37
17,活动,vn,pos,38
17,价格,n,pos,39
17,确实,ad,pos,40
17,比较,d,pos,41
17,低,a,pos,42
17,划算,v,pos,43
17,性价比,n,pos,44
17,会,v,pos,45
17,比较,d,pos,46
17,高,a,pos,47
17,平常,a,pos,48
17,上班,v,pos,49
17,喜欢,v,pos,50
17,喝,vg,pos,51
17,点,q,pos,52
17,茶,n,pos,53
17,相当,d,pos,54
17,友好,a,pos,55
17,会,v,pos,56
17,明显,a,pos,57
17,苦涩感,n,pos,58
17,不会,v,pos,59
17,甜味,n,pos,60
17,会,v,pos,61
17,淡淡的,z,pos,62
17,回甘,v,pos,63
17,感觉,n,pos,64
17,个人,n,pos,65
17,非常,d,pos,66
17,喜欢,v,pos,67
17,值得,v,pos,68
17,推荐,v,pos,69
18,以前,f,pos,0
18,一直,d,pos,1
18,喝,vg,pos,2
18,东方,s,pos,3
18,树叶,n,pos,4
18,茶品,n,pos,5
18,好喝,v,pos,6
18,口感,n,pos,7
18,纯正,d,pos,8
18,泡,v,pos,9
18,茶,n,pos,10
18,口味,n,pos,11
18,青,a,pos,12
18,柑,n,pos,13
18,普洱,ns,pos,14
18,一如既往,i,pos,15
18,品质,n,pos,16
18,真心,d,pos,17
18,觉得,v,pos,18
18,非常,d,pos,19
18,不错,a,pos,20
18,值得,v,pos,21
18,推荐,v,pos,22
18,送货,v,pos,23
18,速度,n,pos,24
18,真的,d,pos,25
18,快,a,pos,26
18,京东,ns,pos,27
18,快递,v,pos,28
18,值得称赞,l,pos,29
18,包装,v,pos,30
18,完好,a,pos,31
18,喜欢,v,pos,32
18,喝茶,v,pos,33
18,选,v,pos,34
18,对了,p,pos,35
19,上午,t,pos,0
19,下单,n,pos,1
19,下午,t,pos,2
19,配送,v,pos,3
19,速度,n,pos,4
19,快递,v,pos,5
19,小哥,n,pos,6
19,服务态度,n,pos,7
19,非常,d,pos,8
19,送到,v,pos,9
19,没有,v,pos,10
19,一句,m,pos,11
19,怨言,n,pos,12
19,超市,v,pos,13
19,东西,ns,pos,14
19,配送,v,pos,15
19,家,q,pos,16
19,满意,v,pos,17
19,地方,n,pos,18
19,味道,n,pos,19
19,喜欢,v,pos,20
19,好极了,l,pos,21
20,京东,ns,pos,0
20,物流,n,pos,1
20,很快,d,pos,2
20,晚上,t,pos,3
20,下单,n,pos,4
20,第二天,m,pos,5
20,送,v,pos,6
20,单,n,pos,7
20,满意,v,pos,8
20,一直,d,pos,9
20,喝,vg,pos,10
20,东方,s,pos,11
20,树叶,n,pos,12
20,家里,s,pos,13
20,库存,n,pos,14
20,平时,t,pos,15
20,出去,v,pos,16
20,一直,d,pos,17
20,便利店,n,pos,18
20,购买,v,pos,19
20,下次,t,pos,20
20,继续,v,pos,21
20,支持,v,pos,22
21,没想到,l,pos,0
21,新年,t,pos,1
21,期间,f,pos,2
21,发货,n,pos,3
21,太,d,pos,4
21,给力,v,pos,5
21,刚好,d,pos,6
21,过年,t,pos,7
21,吃喝,v,pos,8
21,配,v,pos,9
21,一瓶,m,pos,10
21,青,a,pos,11
21,柑,n,pos,12
21,普洱,ns,pos,13
21,清爽,a,pos,14
21,解腻,n,pos,15
21,舒服,a,pos,16
21,多余,m,pos,17
21,添加,v,pos,18
21,喝,vg,pos,19
21,安心,v,pos,20
21,这款,r,pos,21
21,青,a,pos,22
21,柑,n,pos,23
21,普洱,ns,pos,24
21,真是,d,pos,25
21,会,v,pos,26
21,常,d,pos,27
21,囤货,v,pos,28
23,很快,d,pos,0
23,一天,m,pos,1
23,口味,n,pos,2
23,越,d,pos,3
23,喝,vg,pos,4
23,越,d,pos,5
23,上头,v,pos,6
23,第一次,m,pos,7
23,喝,vg,pos,8
23,感觉不好,l,pos,9
23,喝,vg,pos,10
23,后面,f,pos,11
23,几次,m,pos,12
23,喝,vg,pos,13
23,不错,a,pos,14
