index_content,word,nature,content_type,index_word
18,值得,v,pos,14
18,推荐,v,pos,15
18,送货,v,pos,16
18,速度,n,pos,17
18,真的,d,pos,18
18,快,a,pos,19
18,快递,v,pos,20
18,值得称赞,l,pos,21
18,包装,v,pos,22
18,完好,a,pos,23
18,喜欢,v,pos,24
18,喝茶,v,pos,25
18,选,v,pos,26
18,对了,p,pos,27
19,上午,t,pos,0
19,下单,n,pos,1
19,下午,t,pos,2
19,配送,v,pos,3
19,速度,n,pos,4
19,快递,v,pos,5
19,小哥,n,pos,6
19,服务态度,n,pos,7
19,送到,v,pos,8
19,一句,m,pos,9
19,怨言,n,pos,10
19,超市,v,pos,11
19,东西,ns,pos,12
19,配送,v,pos,13
19,家,q,pos,14
19,满意,v,pos,15
19,地方,n,pos,16
19,味道,n,pos,17
19,喜欢,v,pos,18
19,好极了,l,pos,19
20,物流,n,pos,0
20,很快,d,pos,1
20,晚上,t,pos,2
20,下单,n,pos,3
20,送,v,pos,4
20,单,n,pos,5
20,满意,v,pos,6
20,家里,s,pos,7
20,库存,n,pos,8
20,平时,t,pos,9
20,出去,v,pos,10
20,便利店,n,pos,11
20,购买,v,pos,12
20,下次,t,pos,13
20,继续,v,pos,14
20,支持,v,pos,15
21,没想到,l,pos,0
21,新年,t,pos,1
21,期间,f,pos,2
21,发货,n,pos,3
21,给力,v,pos,4
21,刚好,d,pos,5
21,过年,t,pos,6
21,吃喝,v,pos,7
21,配,v,pos,8
21,一瓶,m,pos,9
21,青,a,pos,10
21,柑,n,pos,11
21,清爽,a,pos,12
21,解腻,n,pos,13
21,舒服,a,pos,14
21,多余,m,pos,15
21,添加,v,pos,16
21,安心,v,pos,17
21,青,a,pos,18
21,柑,n,pos,19
21,真是,d,pos,20
21,yyds,eng,pos,21
21,常,d,pos,22
21,囤货,v,pos,23
22,青,a,pos,0
22,柑,n,pos,1
22,口感,n,pos,2
22,nice,eng,pos,3
22,打价,v,pos,4
22,划算,v,pos,5
22,备,v,pos,6
22,一点,m,pos,7
22,过年,t,pos,8
22,物流,n,pos,9
22,力,n,pos,10
22,包装,v,pos,11
22,完好无损,i,pos,12
22,快递,v,pos,13
22,小哥,n,pos,14
22,更是,d,pos,15
22,送到,v,pos,16
22,家门口,s,pos,17
23,很快,d,pos,0
23,一天,m,pos,1
23,口味,n,pos,2
23,越,d,pos,3
23,越,d,pos,4
23,上头,v,pos,5
23,第一次,m,pos,6
23,感觉不好,l,pos,7
23,后面,f,pos,8
23,几次,m,pos,9
23,不错,a,pos,10
23,维,nr,pos,11
23,柠檬茶,n,pos,12
23,上头,v,pos,13
23,这种,r,pos,14
23,没什么,l,pos,15
23,糖,zg,pos,16
23,比较,d,pos,17
23,哈哈哈哈,o,pos,18
24,东西,ns,pos,0
24,收到,v,pos,1
24,发货,n,pos,2
24,速度,n,pos,3
24,很快,d,pos,4
24,卖家,n,pos,5
24,客服,n,pos,6
24,耐心,a,pos,7
24,礼貌,n,pos,8
24,包,v,pos,9
24,包装,v,pos,10
24,仔细,ad,pos,11
24,严实,ad,pos,12
24,物流,n,pos,13
24,公司,n,pos,14
24,服务态度,n,pos,15
24,运送,v,pos,16
24,速度,n,pos,17
24,很快,d,pos,18
24,满意,v,pos,19
24,一次,m,pos,20
24,购物,n,pos,21
25,口感,n,pos,0
25,以前,f,pos,1
25,便利店,n,pos,2
25,购买,v,pos,3
25,单,n,pos,4
25,瓶装,n,pos,5
25,现在,t,pos,6
25,整箱,n,pos,7
25,便宜,a,pos,8
25,实惠,vn,pos,9
25,宝贝,nr,pos,10
25,一如既往,i,pos,11
25,性价比,n,pos,12
25,高,a,pos,13
25,品牌,n,pos,14
25,值得,v,pos,15
25,信赖,n,pos,16
26,多次,m,pos,0
26,口感,n,pos,1
26,苦,a,pos,2
26,儿子,n,pos,3
26,觉得,v,pos,4
26,苦,a,pos,5
26,味道,n,pos,6
26,友好,a,pos,7
26,推荐,v,pos,8
26,同事,n,pos,9
26,云南旅游,nz,pos,10
26,途中,s,pos,11
26,随身,d,pos,12
27,青,a,pos,0
27,柑,n,pos,1
27,口感,n,pos,2
27,很好,d,pos,3
27,喜欢,v,pos,4
27,加糖,v,pos,5
27,可能,v,pos,6
27,接受,v,pos,7
27,细细的,z,pos,8
27,品,v,pos,9
27,好喝,v,pos,10
27,点,q,pos,11
27,算是,v,pos,12
27,电解质,n,pos,13
27,白开水,nr,pos,14
27,比较,d,pos,15
27,喜欢,v,pos,16
27,欢,a,pos,17
27,青,a,pos,18
27,柑,n,pos,19
28,家人,n,pos,0
28,喜欢,v,pos,1
28,喜欢,v,pos,2
28,有点,n,pos,3
28,苦味,n,pos,4
28,喜欢,v,pos,5
28,喜欢,v,pos,6
28,购物,n,pos,7
28,方便快捷,z,pos,8
28,服务,vn,pos,9
28,送货,v,pos,10
28,快,a,pos,11
28,满意,v,pos,12
28,喜欢,v,pos,13
28,购物,n,pos,14
28,方便快捷,z,pos,15
28,服务态度,n,pos,16
28,送货,v,pos,17
28,快,a,pos,18
29,快,a,pos,0
29,喝完,v,pos,1
29,想,v,pos,2
29,评价,n,pos,3
29,多次,m,pos,4
29,回购,v,pos,5
29,喜欢,v,pos,6
29,柑橘,n,pos,7
29,味,n,pos,8
29,解,v,pos,9
29,腻,v,pos,10
29,好喝,v,pos,11
29,不错,a,pos,12
29,喝完,v,pos,13
29,继续,v,pos,14
29,回购,v,pos,15
29,喜欢,v,pos,16
30,真的,d,pos,0
30,宝藏,nr,pos,1
30,东西,ns,pos,2
30,喜欢,v,pos,3
30,爱,v,pos,4
30,不得了,l,pos,5
30,快递,v,pos,6
30,快,a,pos,7
30,之后,f,pos,8
30,马上,d,pos,9
30,分,q,pos,10
30,喜欢,v,pos,11
30,味道,n,pos,12
30,一种,m,pos,13
30,特殊,a,pos,14
30,地方,n,pos,15
30,很少,m,pos,16
30,有人,r,pos,17
30,抢,v,pos,18
31,两箱,m,pos,0
31,两种,m,pos,1
31,口味,n,pos,2
31,原味,n,pos,3
31,平淡,a,pos,4
31,饭后,t,pos,5
31,不错,a,pos,6
31,出去,v,pos,7
31,外带,n,pos,8
31,方便,a,pos,9
31,包包,v,pos,10
31,装,v,pos,11
31,大小,b,pos,12
31,刚刚,d,pos,13
31,合适,a,pos,14
31,值得,v,pos,15
31,推荐,v,pos,16
31,不错,a,pos,17
32,青,a,pos,0
32,柑,n,pos,1
32,味道,n,pos,2
32,真不错,i,pos,3
32,全家人,n,pos,4
32,比较,d,pos,5
32,喜欢,v,pos,6
32,尤其,d,pos,7
32,放在,v,pos,8
32,冰箱,n,pos,9
32,里,f,pos,10
32,冷藏,n,pos,11
32,一下,m,pos,12
32,味道,n,pos,13
32,更好,d,pos,14
32,含有,v,pos,15
32,能量,n,pos,16
32,真是,d,pos,17
32,减肥,v,pos,18
32,人士,n,pos,19
32,最爱,a,pos,20
33,口感,n,pos,0
33,浓浓的,z,pos,1
33,滋味,n,pos,2
33,家人,n,pos,3
33,喜欢,v,pos,4
33,能量,n,pos,5
33,糖,zg,pos,6
33,热量,n,pos,7
33,控制,v,pos,8
33,体重,n,pos,9
33,敢喝,v,pos,10
33,物流,n,pos,11
33,迅速,ad,pos,12
33,自有,v,pos,13
33,运输,vn,pos,14
33,体系,n,pos,15
33,追踪,v,pos,16
33,送货,v,pos,17
33,准时,v,pos,18
33,快递,v,pos,19
33,上门,ns,pos,20
33,快递,v,pos,21
33,哥哥,ns,pos,22
